dateAchat;numSIREN;nomFleur;nbrFleurs;prixAchatUnitaire
17/12/2020;275381649;Hortensia;6;2.82
17/12/2020;672849135;Paquerette;4;0.49
17/12/2020;503827451;Tiare;1;2.57
18/12/2020;651982473;Chrysantheme;22;0.46
18/12/2020;672849135;Marguerite;1;0.85
18/12/2020;269481735;Violette;7;0.25
18/12/2020;503827451;Coquelicot;1;0.43
18/12/2020;842619375;Magnolia;9;2.04
18/12/2020;842619375;Pensee;1;0.28
18/12/2020;269481735;Tournesol;1;0.67
18/12/2020;503827451;Pivoine;1;0.97
18/12/2020;651982473;Mimosa;11;1.01
18/12/2020;346198275;Rose;2;0.77
10/12/2020;672849135;Pivoine;17;0.39
10/12/2020;503827451;Tulipe;3;0.37
10/12/2020;672849135;Narcisse;17;1.2
10/12/2020;503827451;Tiare;3;1.49
10/12/2020;651982473;Tournesol;3;0.2
10/12/2020;482519367;Crocus;4;0.39
10/12/2020;346198275;Marguerite;3;0.24
10/12/2020;672849135;Mimosa;12;2.02
10/12/2020;651982473;Anemone;2;0.25
10/12/2020;275381649;Pensee;1;0.45
10/12/2020;269481735;Oeillet;2;0.15
10/12/2020;346198275;Lys;4;1.27
10/12/2020;842619375;Hortensia;13;3.98
10/12/2020;275381649;Paquerette;4;0.45
10/12/2020;269481735;Coquelicot;2;0.26
10/12/2020;651982473;Chrysantheme;1;0.38
22/12/2020;503827451;Tiare;5;1.73
22/12/2020;269481735;Lys;6;0.87
22/12/2020;275381649;Oeillet;1;0.68
22/12/2020;482519367;Narcisse;9;0.2
22/12/2020;275381649;Hortensia;1;2.24
22/12/2020;346198275;Marguerite;14;0.67
22/12/2020;842619375;Mimosa;2;2.1
22/12/2020;269481735;Crocus;5;0.42
22/12/2020;672849135;Paquerette;5;0.14
29/12/2020;672849135;Narcisse;10;0.23
29/12/2020;275381649;Glaieul;9;0.66
29/12/2020;269481735;Rose;2;0.63
29/12/2020;346198275;Marguerite;27;0.96
29/12/2020;269481735;Pivoine;6;0.82
29/12/2020;346198275;Tiare;5;1.18
29/12/2020;482519367;Paquerette;22;0.18
29/12/2020;269481735;Hortensia;1;2.62
29/12/2020;269481735;Magnolia;2;0.57
29/12/2020;503827451;Tournesol;7;0.41
29/12/2020;482519367;Crocus;20;0.29
29/12/2020;482519367;Coquelicot;17;0.49
29/12/2020;269481735;Chrysantheme;8;0.47
29/12/2020;269481735;Anemone;9;0.18
29/12/2020;672849135;Mimosa;7;0.13
29/12/2020;269481735;Tulipe;7;0.47
29/12/2020;275381649;Pensee;4;0.74
29/12/2020;482519367;Oeillet;2;0.54
21/12/2020;672849135;Hortensia;15;2.77
21/12/2020;482519367;Chrysantheme;1;0.87
21/12/2020;503827451;Magnolia;4;0.88
21/12/2020;842619375;Oeillet;1;0.26
21/12/2020;482519367;Tournesol;2;0.67
21/12/2020;672849135;Pivoine;1;0.45
11/12/2020;651982473;Mimosa;1;1.2
11/12/2020;269481735;Coquelicot;2;0.36
11/12/2020;482519367;Marguerite;2;0.95
11/12/2020;482519367;Lys;13;0.84
11/12/2020;482519367;Chrysantheme;6;0.44
11/12/2020;346198275;Tiare;1;0.52
11/12/2020;503827451;Tulipe;4;0.26
15/12/2020;346198275;Tiare;13;0.16
15/12/2020;842619375;Anemone;1;0.39
15/12/2020;842619375;Crocus;7;0.46
15/12/2020;503827451;Narcisse;1;0.32
15/12/2020;842619375;Tulipe;1;0.1
15/12/2020;503827451;Chrysantheme;2;0.21
23/12/2020;346198275;Lys;13;0.99
23/12/2020;672849135;Pensee;5;0.38
23/12/2020;346198275;Mimosa;10;0.98
23/12/2020;346198275;Marguerite;2;0.56
23/12/2020;275381649;Hortensia;3;1.27
23/12/2020;346198275;Narcisse;2;0.81
23/12/2020;672849135;Crocus;4;0.33
23/12/2020;672849135;Violette;3;0.41
23/12/2020;503827451;Tulipe;2;0.58
23/12/2020;346198275;Rose;2;0.33
23/12/2020;672849135;Tournesol;2;0.51
23/12/2020;275381649;Paquerette;1;0.56
23/12/2020;269481735;Magnolia;1;3.66
30/12/2020;651982473;Magnolia;18;2.84
30/12/2020;346198275;Pivoine;11;0.93
30/12/2020;275381649;Narcisse;1;0.83
30/12/2020;482519367;Crocus;2;0.4
30/12/2020;346198275;Lys;8;1.11
30/12/2020;503827451;Rose;6;0.94
30/12/2020;275381649;Hortensia;1;3.19
30/12/2020;503827451;Paquerette;3;0.28
30/12/2020;503827451;Tournesol;16;0.32
30/12/2020;672849135;Marguerite;7;0.51
30/12/2020;842619375;Tiare;1;2.91
24/12/2020;346198275;Tiare;7;2.96
24/12/2020;346198275;Hortensia;6;3.87
24/12/2020;503827451;Oeillet;1;0.16
24/12/2020;842619375;Mimosa;2;1.19
06/01/2021;269481735;Narcisse;2;1.08
06/01/2021;269481735;Violette;22;0.21
06/01/2021;269481735;Oeillet;1;0.64
06/01/2021;346198275;Chrysantheme;8;0.2
06/01/2021;346198275;Anemone;5;0.97
06/01/2021;651982473;Paquerette;21;0.75
06/01/2021;503827451;Mimosa;18;1.1
06/01/2021;269481735;Pivoine;6;1.39
06/01/2021;269481735;Magnolia;7;2.72
06/01/2021;842619375;Glaieul;5;0.58
06/01/2021;842619375;Marguerite;2;0.25
06/01/2021;482519367;Rose;3;0.63
06/01/2021;672849135;Tiare;2;3.0
06/01/2021;672849135;Hortensia;1;1.76
06/01/2021;651982473;Lys;4;0.64
06/01/2021;842619375;Tulipe;1;0.41
06/01/2021;842619375;Coquelicot;12;0.43
06/01/2021;275381649;Pensee;2;0.7
07/01/2021;503827451;Anemone;17;0.67
07/01/2021;651982473;Lys;12;1.46
07/01/2021;269481735;Tournesol;3;0.75
07/01/2021;651982473;Violette;5;0.19
07/01/2021;346198275;Magnolia;4;3.9
07/01/2021;672849135;Mimosa;4;2.02
07/01/2021;842619375;Marguerite;18;0.41
07/01/2021;651982473;Tulipe;9;0.52
07/01/2021;275381649;Pivoine;3;0.54
07/01/2021;503827451;Glaieul;1;0.22
07/01/2021;482519367;Hortensia;3;3.9
07/01/2021;269481735;Paquerette;1;0.25
07/01/2021;842619375;Chrysantheme;15;0.12
07/01/2021;651982473;Tiare;11;1.88
07/01/2021;651982473;Pensee;2;0.3
07/01/2021;482519367;Oeillet;4;0.64
07/01/2021;672849135;Rose;12;0.85
07/01/2021;482519367;Coquelicot;14;0.43
16/12/2020;275381649;Pivoine;4;1.27
16/12/2020;651982473;Oeillet;1;0.69
16/12/2020;842619375;Tournesol;1;0.2
16/12/2020;482519367;Paquerette;2;0.29
16/12/2020;482519367;Lys;12;0.77
16/12/2020;672849135;Chrysantheme;2;0.47
16/12/2020;275381649;Mimosa;1;1.44
16/12/2020;672849135;Glaieul;4;0.64
16/12/2020;269481735;Anemone;3;1.06
16/12/2020;503827451;Tiare;5;1.07
16/12/2020;269481735;Pensee;3;0.47
16/12/2020;275381649;Coquelicot;1;0.1
16/12/2020;346198275;Rose;3;0.52
16/12/2020;269481735;Tulipe;2;0.17
31/12/2020;672849135;Anemone;6;1.53
31/12/2020;842619375;Tulipe;22;0.16
31/12/2020;346198275;Mimosa;1;0.46
31/12/2020;672849135;Chrysantheme;3;0.55
31/12/2020;842619375;Marguerite;5;0.51
31/12/2020;346198275;Violette;9;0.46
31/12/2020;651982473;Narcisse;1;0.65
31/12/2020;482519367;Glaieul;5;0.7
31/12/2020;651982473;Magnolia;8;3.66
31/12/2020;269481735;Oeillet;11;0.34
04/01/2021;269481735;Violette;5;0.27
04/01/2021;275381649;Anemone;20;1.65
04/01/2021;269481735;Mimosa;9;2.36
04/01/2021;672849135;Pensee;1;0.34
04/01/2021;275381649;Rose;7;0.64
04/01/2021;269481735;Glaieul;7;0.3
05/01/2021;346198275;Violette;1;0.32
05/01/2021;269481735;Magnolia;2;0.28
05/01/2021;672849135;Oeillet;3;0.7
05/01/2021;842619375;Tournesol;13;0.93
05/01/2021;269481735;Tulipe;3;0.46
05/01/2021;346198275;Paquerette;7;0.39
05/01/2021;269481735;Coquelicot;1;0.43
05/01/2021;269481735;Mimosa;5;2.32
05/01/2021;503827451;Hortensia;13;1.67
05/01/2021;269481735;Lys;3;1.11
05/01/2021;482519367;Glaieul;7;0.74
14/01/2021;482519367;Tulipe;18;0.51
14/01/2021;651982473;Paquerette;3;0.41
14/01/2021;346198275;Pivoine;3;1.15
14/01/2021;672849135;Violette;5;0.21
14/01/2021;346198275;Marguerite;8;0.96
14/01/2021;275381649;Lys;2;0.27
14/01/2021;482519367;Magnolia;5;0.6
14/01/2021;482519367;Mimosa;4;1.45
14/01/2021;503827451;Crocus;10;0.2
14/01/2021;482519367;Pensee;1;0.73
14/01/2021;275381649;Glaieul;6;0.33
14/01/2021;346198275;Tiare;1;2.49
12/01/2021;269481735;Mimosa;15;1.77
12/01/2021;269481735;Marguerite;1;0.36
12/01/2021;672849135;Hortensia;8;3.85
12/01/2021;842619375;Magnolia;1;0.18
12/01/2021;482519367;Anemone;8;1.18
12/01/2021;651982473;Glaieul;3;0.46
08/01/2021;651982473;Paquerette;5;0.58
08/01/2021;482519367;Coquelicot;4;0.11
08/01/2021;651982473;Crocus;2;0.19
08/01/2021;672849135;Anemone;3;1.19
08/01/2021;842619375;Narcisse;1;0.96
08/01/2021;672849135;Hortensia;3;1.84
08/01/2021;269481735;Tulipe;4;0.67
08/01/2021;651982473;Oeillet;15;0.72
08/01/2021;482519367;Magnolia;2;2.33
08/01/2021;482519367;Tiare;2;2.22
08/01/2021;275381649;Marguerite;1;0.52
08/01/2021;275381649;Pivoine;1;2.05
08/01/2021;269481735;Lys;5;0.43
15/01/2021;346198275;Oeillet;8;0.22
15/01/2021;275381649;Mimosa;9;2.03
15/01/2021;503827451;Anemone;31;0.89
15/01/2021;482519367;Tulipe;2;0.21
15/01/2021;269481735;Crocus;5;0.35
15/01/2021;672849135;Lys;7;0.43
15/01/2021;482519367;Narcisse;18;0.51
15/01/2021;503827451;Paquerette;2;0.39
15/01/2021;842619375;Pivoine;2;2.03
15/01/2021;842619375;Rose;2;0.26
15/01/2021;842619375;Glaieul;3;0.78
15/01/2021;346198275;Magnolia;1;2.24
15/01/2021;275381649;Marguerite;2;0.86
15/01/2021;672849135;Coquelicot;1;0.25
15/01/2021;672849135;Chrysantheme;1;0.51
15/01/2021;651982473;Violette;4;0.21
11/01/2021;482519367;Mimosa;15;1.81
11/01/2021;346198275;Pensee;7;0.63
11/01/2021;672849135;Violette;1;0.3
11/01/2021;651982473;Chrysantheme;8;0.74
11/01/2021;842619375;Coquelicot;3;0.5
11/01/2021;346198275;Tulipe;2;0.29
11/01/2021;651982473;Lys;4;1.47
11/01/2021;651982473;Oeillet;8;0.59
11/01/2021;842619375;Hortensia;1;0.53
11/01/2021;482519367;Crocus;1;0.48
18/01/2021;651982473;Tiare;15;1.22
18/01/2021;842619375;Paquerette;2;0.64
18/01/2021;651982473;Violette;3;0.19
18/01/2021;651982473;Rose;10;0.32
18/01/2021;269481735;Glaieul;6;0.71
18/01/2021;651982473;Crocus;1;0.13
18/01/2021;842619375;Hortensia;1;1.82
18/01/2021;651982473;Tournesol;16;1.0
18/01/2021;275381649;Anemone;1;0.61
18/01/2021;269481735;Marguerite;1;0.26
18/01/2021;651982473;Tulipe;1;0.65
18/01/2021;482519367;Magnolia;4;2.56
22/01/2021;275381649;Rose;5;0.47
22/01/2021;651982473;Pivoine;15;1.04
22/01/2021;346198275;Chrysantheme;1;0.19
22/01/2021;346198275;Anemone;2;1.71
22/01/2021;842619375;Coquelicot;3;0.44
22/01/2021;346198275;Narcisse;7;1.16
22/01/2021;651982473;Pensee;3;0.45
22/01/2021;346198275;Magnolia;12;1.67
22/01/2021;672849135;Marguerite;1;0.35
22/01/2021;346198275;Paquerette;2;0.61
22/01/2021;503827451;Glaieul;1;0.92
22/01/2021;842619375;Tournesol;1;0.34
