numCommande;numBouquet;nbrBouquets;nomFleur;nbrFleurs
1;1;1;Hortensia;6
;;;Paquerette;4
;;;Tiare;1
2;1;1;Chrysantheme;16
;;;Marguerite;1
2;2;2;Violette;7
;;;Chrysantheme;2
;;;Coquelicot;1
;;;Magnolia;4
;;;Pensee;1
3;1;1;Pivoine;16
;;;Tulipe;2
3;2;1;Narcisse;14
;;;Tiare;1
;;;Tournesol;3
;;;Tulipe;1
3;3;3;Crocus;4
;;;Pivoine;1
4;1;1;Tiare;5
;;;Lys;3
;;;Oeillet;1
;;;Narcisse;1
;;;Hortensia;1
4;2;1;Marguerite;14
;;;Mimosa;2
;;;Lys;1
5;1;1;Narcisse;8
;;;Glaieul;9
;;;Rose;1
5;2;3;Marguerite;19
;;;Narcisse;1
6;1;1;Hortensia;11
;;;Chrysantheme;1
;;;Magnolia;4
;;;Oeillet;1
6;2;4;Hortensia;4
;;;Tournesol;2
;;;Pivoine;1
7;1;1;Marguerite;3
;;;Tiare;1
;;;Mimosa;12
;;;Anemone;2
;;;Pensee;1
7;2;2;Oeillet;2
;;;Lys;4
7;3;1;Hortensia;8
;;;Paquerette;4
;;;Coquelicot;1
7;4;2;Tiare;1
;;;Hortensia;5
;;;Narcisse;3
;;;Coquelicot;1
;;;Chrysantheme;1
8;1;1;Tournesol;1
;;;Chrysantheme;4
;;;Magnolia;5
;;;Pivoine;1
8;2;2;Mimosa;11
;;;Rose;2
9;1;1;Mimosa;1
;;;Coquelicot;2
;;;Marguerite;2
;;;Lys;1
9;2;1;Chrysantheme;6
;;;Tiare;1
9;3;2;Lys;12
;;;Tulipe;4
10;1;1;Tiare;13
;;;Anemone;1
10;2;3;Crocus;7
;;;Narcisse;1
;;;Tulipe;1
;;;Chrysantheme;2
11;1;1;Rose;1
;;;Pivoine;2
;;;Marguerite;1
;;;Tiare;3
12;1;1;Lys;3
;;;Pensee;5
;;;Mimosa;3
;;;Marguerite;2
;;;Hortensia;1
